Vineyard Name,City,Country,Today+1 Min Temp,Today+2 Min Temp,Today+3 Min Temp
Braur Du Mathtel,Vacognes-Neuilly,France
Las Spacer,Fuentes de Cesna,Spain
Sagplaines Haven,Leigh Creek,Australia
Grand Ningoaks Du Marmid,Sortosville-en-Beaumont,France
Sland Creek,New Brockton,United States
Porto Ncilla,Purranque,Chile
Mount Attionquences,Chacarita,Argentina
San Leydartif,Bocchigliero,Italy
Nterreerstonebac Hill,Knysna,South Africa
Mount Glennalwest,Sanderston,Australia
Porta Rimtra,Santiago da Guarda,Portugal
Mount Wyndher,Hillcrest,South Africa
Port Bellburn,Heber Springs,United States
Tionbunkur,Tzaneen,South Africa
Port Castcanarri,Malfa,Italy
Grand Borroyal,Saulieu,France
El Bec,Navalmoralejo,Spain
La Horn,Quilleco,Chile
